Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2005,Mike Williams,21,13,USC,77,229,4.56,36.5,,,,,USC,Pac-10,2,13,95,1314,13.8,16,176,2579,14.7,30,7,1.857142857,3.448979592
2005,Mark Clayton,22,30,Oklahoma,70,193,4.41,36.5,,118,6.95,4.07,Oklahoma,Big 12,4,13,66,876,13.3,8,220,3236,14.7,31,7,4.285714286,18.36734694
2005,Roddy White,23,107,Ala-Birmingham,73,207,4.46,,,,,,UAB,CUSA,4,12,71,1452,20.5,14,163,3112,19.1,26,11,9.727272727,94.61983471
2005,Reggie Brown,24,21,Georgia,74,196,4.45,41.5,,128,6.99,3.94,Georgia,SEC,4,12,53,860,16.2,6,144,2008,13.9,12,5,4.2,17.64
2005,Mark Bradley,23,11,Oklahoma,73,201,4.37,39.5,,128,6.96,3.98,Oklahoma,Big 12,4,13,23,491,21.3,7,34,685,20.1,9,5,2.2,4.84
2005,Roscoe Parrish,22,15,Miami (FL),70,168,4.37,,,,,,Miami (FL),ACC,3,12,43,693,16.1,8,86,1355,15.8,12,8,1.875,3.515625
2005,Terrence Murphy,22,0,Texas A&M,73,202,4.39,,,,,,Texas A&M,Big 12,4,11,56,721,12.9,3,172,2600,15.1,10,1,0,0
2005,Courtney Roby,22,3,Indiana,72,189,4.41,36.5,,126,6.6,3.94,Indiana,Big Ten,4,11,55,810,14.7,7,170,2524,14.8,12,10,0.3,0.09
2005,Chris Henry,21,17,West Virginia,76,197,4.5,,,,,,West Virginia,Big East,3,11,52,872,16.8,12,93,1878,20.2,22,5,3.4,11.56
2005,Brandon Jones,22,13,Oklahoma,73,210,4.42,37,,114,7.03,4.08,Oklahoma,Big 12,4,13,27,345,12.8,3,82,1187,14.5,14,5,2.6,6.76
2004,Larry Fitzgerald,20,133,Pittsburgh,75,225,4.48,,,,,,Pitt,Big East,2,13,92,1672,18.2,22,161,2677,16.6,34,16,8.3125,69.09765625
